[2026-05-08T19:25:43.591+0530][0.012s][info][gc,init] CardTable entry size: 512
[2026-05-08T19:25:43.591+0530][0.012s][info][gc     ] Using G1
[2026-05-08T19:25:43.597+0530][0.018s][info][gc,init] Version: 21.0.10+8-LTS-217 (release)
[2026-05-08T19:25:43.597+0530][0.018s][info][gc,init] CPUs: 4 total, 4 available
[2026-05-08T19:25:43.597+0530][0.018s][info][gc,init] Memory: 8191M
[2026-05-08T19:25:43.598+0530][0.018s][info][gc,init] Large Page Support: Disabled
[2026-05-08T19:25:43.598+0530][0.018s][info][gc,init] NUMA Support: Disabled
[2026-05-08T19:25:43.598+0530][0.018s][info][gc,init] Compressed Oops: Enabled (32-bit)
[2026-05-08T19:25:43.598+0530][0.019s][info][gc,init] Heap Region Size: 1M
[2026-05-08T19:25:43.598+0530][0.019s][info][gc,init] Heap Min Capacity: 500M
[2026-05-08T19:25:43.598+0530][0.019s][info][gc,init] Heap Initial Capacity: 500M
[2026-05-08T19:25:43.598+0530][0.019s][info][gc,init] Heap Max Capacity: 500M
[2026-05-08T19:25:43.598+0530][0.019s][info][gc,init] Pre-touch: Disabled
[2026-05-08T19:25:43.598+0530][0.019s][info][gc,init] Parallel Workers: 2
[2026-05-08T19:25:43.598+0530][0.019s][info][gc,init] Concurrent Workers: 1
[2026-05-08T19:25:43.598+0530][0.019s][info][gc,init] Concurrent Refinement Workers: 2
[2026-05-08T19:25:43.598+0530][0.019s][info][gc,init] Periodic GC: Disabled
[2026-05-08T19:25:43.612+0530][0.033s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000023c80000000-0x0000023c80c90000-0x0000023c80c90000), size 13172736, SharedBaseAddress: 0x0000023c80000000, ArchiveRelocationMode: 1.
[2026-05-08T19:25:43.612+0530][0.033s][info][gc,metaspace] Compressed class space mapped at: 0x0000023c81000000-0x0000023cc1000000, reserved size: 1073741824
[2026-05-08T19:25:43.612+0530][0.033s][info][gc,metaspace] Narrow klass base: 0x0000023c80000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2026-05-08T19:25:43.743+0530][0.164s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:43.743+0530][0.164s][info][gc,task     ] GC(0) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:43.781+0530][0.201s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.1ms
[2026-05-08T19:25:43.781+0530][0.202s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[2026-05-08T19:25:43.781+0530][0.202s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 36.5ms
[2026-05-08T19:25:43.781+0530][0.202s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
[2026-05-08T19:25:43.781+0530][0.202s][info][gc,phases   ] GC(0)   Other: 0.2ms
[2026-05-08T19:25:43.781+0530][0.202s][info][gc,heap     ] GC(0) Eden regions: 25->0(21)
[2026-05-08T19:25:43.781+0530][0.202s][info][gc,heap     ] GC(0) Survivor regions: 0->4(4)
[2026-05-08T19:25:43.781+0530][0.202s][info][gc,heap     ] GC(0) Old regions: 0->8
[2026-05-08T19:25:43.781+0530][0.202s][info][gc,heap     ] GC(0) Humongous regions: 2->2
[2026-05-08T19:25:43.781+0530][0.202s][info][gc,metaspace] GC(0) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:43.781+0530][0.202s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 27M->14M(500M) 37.806ms
[2026-05-08T19:25:43.781+0530][0.202s][info][gc,cpu      ] GC(0) User=0.06s Sys=0.00s Real=0.04s
[2026-05-08T19:25:43.797+0530][0.218s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:43.797+0530][0.218s][info][gc,task     ] GC(1) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:43.865+0530][0.286s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.1ms
[2026-05-08T19:25:43.865+0530][0.286s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[2026-05-08T19:25:43.865+0530][0.286s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 67.1ms
[2026-05-08T19:25:43.865+0530][0.286s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.4ms
[2026-05-08T19:25:43.865+0530][0.286s][info][gc,phases   ] GC(1)   Other: 0.1ms
[2026-05-08T19:25:43.865+0530][0.286s][info][gc,heap     ] GC(1) Eden regions: 21->0(21)
[2026-05-08T19:25:43.865+0530][0.286s][info][gc,heap     ] GC(1) Survivor regions: 4->4(4)
[2026-05-08T19:25:43.865+0530][0.286s][info][gc,heap     ] GC(1) Old regions: 8->30
[2026-05-08T19:25:43.865+0530][0.286s][info][gc,heap     ] GC(1) Humongous regions: 7->7
[2026-05-08T19:25:43.865+0530][0.286s][info][gc,metaspace] GC(1) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:43.866+0530][0.286s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 40M->40M(500M) 68.265ms
[2026-05-08T19:25:43.866+0530][0.286s][info][gc,cpu      ] GC(1) User=0.14s Sys=0.02s Real=0.07s
[2026-05-08T19:25:43.880+0530][0.300s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:43.880+0530][0.300s][info][gc,task     ] GC(2) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:43.941+0530][0.362s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[2026-05-08T19:25:43.942+0530][0.362s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.1ms
[2026-05-08T19:25:43.942+0530][0.363s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 60.9ms
[2026-05-08T19:25:43.942+0530][0.363s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.5ms
[2026-05-08T19:25:43.942+0530][0.363s][info][gc,phases   ] GC(2)   Other: 0.1ms
[2026-05-08T19:25:43.942+0530][0.363s][info][gc,heap     ] GC(2) Eden regions: 21->0(21)
[2026-05-08T19:25:43.942+0530][0.363s][info][gc,heap     ] GC(2) Survivor regions: 4->4(4)
[2026-05-08T19:25:43.942+0530][0.363s][info][gc,heap     ] GC(2) Old regions: 30->51
