Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16539104k(7300292k free), swap 22864340k(4694752k free)
CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:ParallelGCThreads=4 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-07-02T07:39:32.761+0530: 0.303: [GC (Allocation Failure) [PSYoungGen: 51712K->8176K(59904K)] 51712K->28776K(196608K), 0.0248174 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2021-07-02T07:39:33.236+0530: 0.778: [GC (Allocation Failure) [PSYoungGen: 59888K->8192K(59904K)] 80488K->69688K(196608K), 0.0413377 secs] [Times: user=0.08 sys=0.03, real=0.04 secs] 
2021-07-02T07:39:34.054+0530: 1.596: [GC (Allocation Failure) [PSYoungGen: 59904K->8192K(59904K)] 121400K->112640K(196608K), 0.0526790 secs] [Times: user=0.22 sys=0.03, real=0.05 secs] 
2021-07-02T07:39:34.107+0530: 1.649: [Full GC (Ergonomics) [PSYoungGen: 8192K->0K(59904K)] [ParOldGen: 104448K->112151K(136704K)] 112640K->112151K(196608K), [Metaspace: 2553K->2553K(1056768K)], 0.9357462 secs] [Times: user=3.55 sys=0.00, real=0.94 secs] 
2021-07-02T07:39:36.018+0530: 3.560: [Full GC (Ergonomics) [PSYoungGen: 51712K->14718K(59904K)] [ParOldGen: 112151K->136566K(136704K)] 163863K->151284K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.2283961 secs] [Times: user=0.86 sys=0.00, real=0.23 secs] 
2021-07-02T07:39:37.273+0530: 4.815: [Full GC (Ergonomics) [PSYoungGen: 51712K->45302K(59904K)] [ParOldGen: 136566K->136566K(136704K)] 188278K->181869K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.2356301 secs] [Times: user=0.89 sys=0.00, real=0.24 secs] 
2021-07-02T07:39:37.702+0530: 5.244: [Full GC (Ergonomics) [PSYoungGen: 51712K->50602K(59904K)] [ParOldGen: 136566K->136566K(136704K)] 188278K->187168K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1859058 secs] [Times: user=0.75 sys=0.00, real=0.19 secs] 
2021-07-02T07:39:37.934+0530: 5.475: [Full GC (Ergonomics) [PSYoungGen: 51712K->51518K(59904K)] [ParOldGen: 136566K->136566K(136704K)] 188278K->188085K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1835340 secs] [Times: user=0.75 sys=0.00, real=0.18 secs] 
2021-07-02T07:39:38.124+0530: 5.666: [Full GC (Ergonomics) [PSYoungGen: 51712K->51679K(59904K)] [ParOldGen: 136566K->136566K(136704K)] 188278K->188245K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1820146 secs] [Times: user=0.69 sys=0.00, real=0.18 secs] 
2021-07-02T07:39:38.308+0530: 5.849: [Full GC (Ergonomics) [PSYoungGen: 51712K->51706K(59904K)] [ParOldGen: 136566K->136566K(136704K)] 188278K->188272K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1843803 secs] [Times: user=0.75 sys=0.00, real=0.18 secs] 
2021-07-02T07:39:38.492+0530: 6.034: [Full GC (Ergonomics) [PSYoungGen: 51712K->51710K(59904K)] [ParOldGen: 136566K->136566K(136704K)] 188278K->188277K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1802889 secs] [Times: user=0.75 sys=0.00, real=0.18 secs] 
2021-07-02T07:39:38.673+0530: 6.215: [Full GC (Ergonomics) [PSYoungGen: 51712K->51711K(59904K)] [ParOldGen: 136566K->136566K(136704K)] 188278K->188277K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1731508 secs] [Times: user=0.69 sys=0.00, real=0.17 secs] 
2021-07-02T07:39:38.846+0530: 6.388: [Full GC (Ergonomics) [PSYoungGen: 51712K->51711K(59904K)] [ParOldGen: 136566K->136566K(136704K)] 188278K->188278K(196608K), [Metaspace: 3113K->3113K(1056768K)], 0.1766027 secs] [Times: user=0.69 sys=0.00, real=0.18 secs] 
